query_id,faithfulness,answer_relevancy,context_precision,context_recall
1,0.8465671986341476,0.9099807739257812,0.8391528725624084,0.8539815247058868
3,0.9396738260984421,0.904638409614563,0.8820569515228271,0.997290700674057
5,0.9348122328519821,0.9444345235824585,0.8703000545501709,0.9993244111537933
13,0.8883762359619141,0.8984851539134979,0.8762114942073822,0.9005409777164459
36,0.9269114285707474,0.8998668789863586,0.9338719546794891,0.9199509024620056
42,0.9629417806863785,0.9588169753551483,0.9263478815555573,0.9995356798171997
48,0.9553586691617966,0.8966109156608582,0.9113928377628326,0.9993245005607605
49,0.9628191441297531,0.9366000592708588,0.9262161552906036,0.9994221329689026
50,0.9727610945701599,0.9289902150630951,0.9459287524223328,0.9995934367179871
51,0.952857106924057,0.9370560348033905,0.9079861342906952,0.9977280795574188
